Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
MX3-9,~,SW_MX_HS_1u,185.7375,-38.1,180.0,bottom
MX3-10,~,SW_MX_HS_1u,204.7875,-38.1,180.0,bottom
MX3-11,~,SW_MX_HS_1u,223.8375,-38.1,180.0,bottom
MX4-0,~,SW_MX_HS_1.25u,2.38125,-57.15,180.0,bottom
MX4-1,~,SW_MX_HS_1u,23.8125,-57.15,180.0,bottom
MX4-2,~,SW_MX_HS_1.25u,45.24375,-57.15,180.0,bottom
MX4-4_0,~,SW_MX_HS_1u,83.34375,-57.15,180.0,bottom
MX4-5_0,~,SW_MX_HS_1u,130.96875,-57.15,180.0,bottom
MX4-5_1,~,SW_MX_HS_1u,116.68125,-57.15,180.0,bottom
MX4-8_0,~,SW_MX_HS_1.25u,164.30625,-57.15,180.0,bottom
MX4-9,~,SW_MX_HS_1u,185.7375,-57.15,180.0,bottom
MX4-10,~,SW_MX_HS_1u,204.7875,-57.15,180.0,bottom
MX4-11,~,SW_MX_HS_1u,223.8375,-57.15,180.0,bottom
R1,22,R_0402_1005Metric,15.21375,-24.95875,45.0,bottom
R2,22,R_0402_1005Metric,14.46375,-25.70875,45.0,bottom
R3,1k,R_0402_1005Metric,20.306193,-43.993173,45.0,bottom
R4,1k,R_0402_1005Metric,34.1125,-31.2125,180.0,bottom
R5,1k,R_0402_1005Metric,18.565625,-39.64,180.0,bottom
R6,5.1k,R_0402_1005Metric,16.6,13.97,270.0,bottom
R7,5.1k,R_0402_1005Metric,21.5,16.51,270.0,bottom
R8,1M,R_0402_1005Metric,25.905,25.235,270.0,bottom
U1,RP2040,RP2040,20.875625,-34.65,0.0,bottom
U2,XC6206PxxxMR,SOT-23,34.85,25.235,270.0,bottom
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,30.5125,-26.75875,270.0,bottom
U4,SRV05-4,SOT-23-6-routable,19.05,20.27,0.0,bottom
U5,74AHCT1G125,SOT-23-5,-5.5,9.377625,270.0,bottom
USB1,HRO-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,19.05,27.55,180.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,22.675,-43.18,45.0,bottom
